,mmlu,truthfulqa,gsm,bbh,tydiqa,average acc
label-filtered-2k,64.7,3.7,63.0,59.0,62.4,50.6
label-filtered-5k,64.0,6.2,59.0,60.4,62.2,50.4
label-filtered-10k,64.1,40.4,59.0,59.4,60.3,56.6
label-filtered-20k,63.7,40.8,60.0,60.0,62.1,57.3
label-filtered-40k,63.2,41.9,62.5,60.8,59.5,57.6
diversity-filtered-2k,63.0,3.7,58.0,56.2,68.2,49.8
diversity-filtered-5k,63.9,32.2,64.5,59.4,62.7,56.5
diversity-filtered-10k,63.0,51.2,58.5,58.8,61.7,58.6
diversity-filtered-20k,62.6,39.8,62.5,58.5,62.8,57.2
diversity-filtered-40k,64.0,42.7,61.5,59.0,63.2,58.1
filtered-2k,63.4,31.5,65.5,61.3,62.3,56.8
filtered-5k,63.4,48.7,65.5,63.0,64.1,60.9
filtered-10k,63.6,46.9,64.5,59.1,64.9,59.8
filtered-20k,63.8,53.4,64.5,60.2,67.6,61.9
filtered-40k,64.1,41.5,58.0,57.5,67.0,57.6
filtered-cured-0.5-2k,63.3,32.7,61.5,59.9,65.0,56.5
filtered-cured-0.5-5k,63.2,46.6,65.0,58.9,65.2,59.8
filtered-cured-0.5-10k,63.1,46.4,66.5,59.2,67.2,60.5
filtered-cured-0.5-20k,63.8,46.0,65.5,56.4,67.0,59.7
filtered-cured-0.5-40k,63.0,41.4,63.0,57.8,66.8,58.4
