,mmlu,truthfulqa,gsm,bbh,tydiqa,average acc
label-filtered-2k,64.7,3.7,62.0,58.7,62.4,50.3
label-filtered-5k,63.9,6.9,59.5,59.6,61.6,50.3
label-filtered-10k,64.0,40.3,58.5,61.9,58.8,56.7
label-filtered-20k,63.7,41.2,57.5,63.2,62.7,57.7
label-filtered-40k,63.0,44.2,61.5,62.9,58.7,58.1
diversity-filtered-2k,62.9,3.7,58.5,57.0,66.5,49.7
diversity-filtered-5k,63.9,27.9,65.5,62.6,64.3,56.8
diversity-filtered-10k,64.2,54.6,59.0,61.4,61.2,60.1
diversity-filtered-20k,63.5,42.7,59.5,59.1,62.6,57.5
diversity-filtered-40k,63.7,39.9,59.5,59.7,62.7,57.1
filtered-2k,63.3,29.4,65.5,63.4,63.4,57.0
filtered-5k,63.7,47.6,69.0,61.4,63.6,61.1
filtered-10k,63.6,49.8,64.0,58.6,66.4,60.5
filtered-20k,63.4,52.1,65.5,58.7,65.5,61.0
filtered-40k,63.6,46.1,64.0,59.2,65.0,59.6
filtered-cured-0.5-2k,63.3,34.6,63.0,60.4,64.7,57.2
filtered-cured-0.5-5k,62.9,44.6,65.5,59.4,66.6,59.8
filtered-cured-0.5-10k,62.4,45.0,64.0,59.4,66.3,59.4
filtered-cured-0.5-20k,63.1,47.5,61.5,57.7,66.1,59.2
filtered-cured-0.5-40k,63.7,46.9,61.5,57.2,65.4,58.9
