baseline_tag,labeling_model,0k,2k,5k,10k,20k,40k,300k
random,Meta-Llama-3.1-8B-Instruct,46.6,55.4,54.6,56.5,56.5,58.0,57.7
less,Meta-Llama-3.1-8B-Instruct,46.6,48.8,56.0,58.0,58.5,57.4,57.7
label-filtered,Meta-Llama-3.1-8B-Instruct,46.6,47.4,45.0,58.1,49.7,56.3,57.7
diversity-filtered,Meta-Llama-3.1-8B-Instruct,46.6,50.4,51.0,56.6,57.7,56.4,57.7
filtered,Meta-Llama-3.1-8B-Instruct,46.6,58.5,56.4,59.2,59.3,58.5,57.7
filtered-cured-0.4,Meta-Llama-3.1-8B-Instruct,46.6,58.3,58.8,60.2,59.7,58.0,57.7
label-filtered,gpt-4o-mini,46.6,47.7,48.3,58.1,55.5,55.2,57.7
diversity-filtered,gpt-4o-mini,46.6,51.0,50.7,56.6,57.6,55.4,57.7
filtered,gpt-4o-mini,46.6,59.3,59.3,60.2,58.5,58.8,57.7
filtered-cured-0.5,gpt-4o-mini,46.6,57.3,57.7,61.4,59.3,60.4,57.7
label-filtered,Mistral-7B-Instruct-v0.3,46.6,50.6,53.3,58.1,57.1,57.2,57.7
diversity-filtered,Mistral-7B-Instruct-v0.3,46.6,49.6,56.1,56.6,58.2,57.5,57.7
filtered,Mistral-7B-Instruct-v0.3,46.6,55.2,60.4,60.7,59.3,60.9,57.7
filtered-cured-0.5,Mistral-7B-Instruct-v0.3,46.6,56.0,58.7,61.1,60.6,58.5,57.7
